id1,id2,label
1097,4915,False
1097,2321,False
3819,2092,False
1141,1821,False
3186,440,False
4684,3915,False
4211,844,False
3202,23,False
2879,4701,False
2423,4701,False
2534,2960,False
249,3402,False
259,899,True
552,3014,False
2575,3363,False
2107,1020,False
1650,2829,False
3275,4219,False
152,2615,False
3619,3243,False
3639,3286,False
2690,3286,False
4577,1550,False
2544,1550,False
4597,2490,False
816,3428,False
4035,1264,False
4027,735,False
397,1884,False
1009,4998,False
102,4998,False
1191,2794,True
885,1332,False
2665,4561,False
2617,2363,False
369,4111,True
2578,4383,False
4827,1925,False
2946,4803,False
4565,1389,False
4906,1308,False
2964,3496,False
208,4867,False
834,954,False
3702,2722,False
879,1301,False
4801,1141,False
776,747,False
525,272,False
1896,3872,False
