candidates,prefixes,suffixes,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labour,NA,plans maternity,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Maternity,pay rise,pay for,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Trade,by the,and Industry,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Industry,Trade and,Secretary Patricia,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Industry Secretary,Trade and,Patricia Hewitt,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Industry Secretary Patricia,Trade and,Hewitt,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Industry Secretary Patricia Hewitt,Trade and,NA,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Secretary,and Industry,Patricia Hewitt,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Secretary Patricia,and Industry,Hewitt,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Secretary Patricia Hewitt,and Industry,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Patricia,Industry Secretary,Hewitt,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Patricia Hewitt,Industry Secretary,NA,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hewitt,Secretary Patricia,NA,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ms Hewitt,by 2007,told GMTVs,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hewitt,2007 Ms,told GMTVs,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sunday,told GMTVs,programme,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,NA,plans include,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tories,The,dismissed the,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Liberal,while the,Democrats said,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberal Democrats,while the,said it,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Democrats,the Liberal,said it,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Ms Hewitt,NA,said We,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Hewitt,Ms,said We,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parliament,the next,NA,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Shadow,The,Secretary of,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shadow Secretary,The,of State,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Secretary,The Shadow,of State,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
State,Secretary of,for the,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
Family,for the,Theresa May,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Theresa,the Family,May said,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Theresa May,the Family,said These,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
May,Family Theresa,said These,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gordon,announced by,Brown in,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gordon Brown,announced by,in his,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
Brown,by Gordon,in his,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1
December,review in,and Tony,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
Tony,December and,Blair is,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Tony Blair,December and,is now,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Blair,and Tony,is now,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Conservatives,said the,would announce,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
